id,area,check,how,cables,result
E1,Engine bay,"Connector 58 near the engine (A4): note its real pin numbers against my pins 1–6 (top to bottom on the drawing). Pin 1 should be red on one side, green on the other.",look,"271, 267, 272, 123, 184, 183",
E2,Engine bay,Coil terminal 1: wire colour. Blue would confirm 121 BL from the ignition control unit.,look,121,"Blue on the coil’s − (terminal 1), yellow on + (15). The coil is a Bosch marked −, + and 4 at the HT tower (25 Sep 2026, photos)."
E3,Engine bay,"Ballast resistor (147): the joint’s green/white wire (394) loops towards the relay board. Does it go to start relay 89’s socket (87a)? (Already found: the 0.6 Ω end is yellow and the coil’s + is yellow, so that is 123b, yellow on the car; see E2.)",look,394,
E4,Engine bay,"Wiper motor plug: the drawing puts green 87 on terminal 3, red 86 on 5, brown 85a on 4 and blue/white 88a on 2 (park). Do the colours match? Where does blue 90 go? (The new photos suggest it runs from the motor’s housing to an earth point, the joint by relay 113 on the drawing.)",look,"86, 87, 88a",
E5,Engine bay,Headlight wipers: colours at each motor plug (123).,look,"95a, 95b, 97, 98, 99, 99a","Colours correct at both plugs: yellow 98 and red 95a at one, brown 97 and red 95b at the other. One pin takes both reds, as drawn (photos)."
E6,Engine bay,Radiator fan motor plug: green 1.5 mm² wire (111).,look,111,
E7,Engine bay,"Fuel boost: is the speed transmitter (140, legend 151) fitted, and where? The manual puts the carburettor cars’ one on the speedometer cable (PDF p. 250). Also look for the throttle valve switch (137) on the throttle body and the solenoid valve (142).",look,"380, 380a, 381, 382, 383","Fitted, on the speedometer cable in the engine bay. Above 130 km/h it gives 12 V to the enrichment solenoid valve (142), which sits at the front of the engine on the control pressure fuel line, the same line as the warm-up regulator (25 Sep 2026)."
E8,Engine bay,"Headlight wipers: where is the 3 A glass fuse holder (65)? (On the drawing, 97 links the two motors and 98 goes to relay 67 terminal 88a.)",look,"94, 95",
E9,Engine bay,"Headlight wipers: with the ignition on, work the windscreen washer with the headlights off, then on. When do the headlight wipers run? That tells us how relay 67’s coil is earthed (the new photos show its 85 tied to 87, which is earthed on 100 SV; see F7).",test,"96, 100a",
E10,Engine bay,Headlight wipers: do both motors run? The book prints nothing inside the first motor that passes the start signal (yellow 98) on to the second (brown 97).,look,"97, 98","Both run at the same time (25 Sep 2026), so the car has a link the book leaves out."
E11,Engine bay,"TSI service outlet (73), optional: going round the socket, are the wires in this order (either direction): grey 280, black 281, yellow 282, green/white 283, yellow 204 with blue 284a, then an empty pin? The book and a reference photo of the socket (source/ref/c900-tsi-socket.jpg) say so; the data had yellow and green/white the other way round.",look,"280, 281, 282, 283, 204, 284a",
E12,Engine bay,"Fuel boost solenoid valve (142): how many wires does it have? The book shows the blue one from the speed transmitter (382) and, probably, a grey one from the throttle switch (383), plus an earth.",look,"382, 383","Grey (383) and blue (382) on the same contact, and an earth on the second contact (25 Sep 2026; photo source/photos/car-142-enrichment-valve.jpg). The thick white wire there is Charlie’s own addition, not in the manual."
E13,Engine bay,Washer pump (63): is there a second black 1.0 wire on its earth terminal besides 92? The book runs the right front lamp housing’s earth (361) there.,look,"92, 361",
E14,Engine bay,"Radiator fan thermostat switch (39): besides the blue wire (114a), is there a thin black wire (115)? The book runs the left headlamp’s second earth lead there, not to a separate earth. And at connector 60 near it: is 114a blue (1979 print) or black (1977 print)?",look,"114a, 115",
E15,Engine bay,"Ignition control unit (146) supply: battery disconnected, measure ohms between 146’s terminal 15 (green/white 123d) and coil terminal 15. About 0 Ω: fed from the coil. About 1 Ω (the ballast resistor): fed from connector 58 before the ballast, as the new photos show.",meter,"123d, 123b",
E16,Engine bay,"Front lamp housings: ignition on, reverse selected. Does the lower bulb in each front housing light? The book runs a blue wire (138) from the reversing light switch toward the connector that feeds those bulbs (139, 139a).",look,"138, 139, 139a","The lower bulbs in the front housings are extra reversing lights: they light when the gear lever is pushed towards reverse (25 Sep 2026). The reverse lights are on fuse 3 (Charlie, 25 Sep 2026), as the book’s feed through reversing switch 31 (135 VT from fuse 3) implies."
E17,Engine bay,"Headlight wipers, following E10: at the first motor’s plug (the one with yellow 98), does brown 97 share yellow’s terminal? If so, the start link is in the harness (as the 1977 diagram draws it) and this is answered. If 97 has its own terminal, battery disconnected, meter the motor side between the 97 pin and the 98 pin (expect about 0 Ω, the 1979 layout).",meter,"97, 98",
E19,Engine bay,"Corner lamps (fuse 5). The 1977 Turbo diagram has a dashboard switch for them (117) with its own pilot lamp, fed from fuse 5 on brown/white 220, and one output (brown/white 221/222a) that lights a second filament in the parking bulb of both front housings. On your car: is there such a dash switch? Do the corner lamps light from it (not the indicators)? Are the front parking bulbs twin-filament, with a brown/white wire at the holder? The 1979 print does not draw this circuit.",look,"220, 221, 222a","There is a dash switch for the corner lamps, and they don’t come on with the indicators (25 Sep 2026): the circuit exists on this car, as on the 1977 diagram, though the 1979 print leaves it out. Wire colours: E19b."
E19b,Engine bay,"Corner lamps, following E19: at the front parking bulb holders, is there a brown/white wire (221/222a) besides the parking feed (blue 43 left, green 45 right)? Is the parking bulb twin-filament? At the dash switch: brown/white in (220, from fuse 5) and out (221), and a black earth for its pilot lamp (223)?",look,"220, 221, 222a, 223",
F0,Fuse box and relays,Read the fuse box lid legend and the relay position labels.,photo,,"Lid, with ratings matching the manual: 1 left park/tail/licence 5 A, 2 right park/tail/licence 5 A, 3 horn/back-up 8 A, 4 wiper-washer/instruments/el. mirror 8 A, 5 el. heated seats/cornering 8 A, 6 compartment fan 16 A, 7 cooling fan/extra lights 16 A, 8 rear demist 16 A, 9 cigar lighter/compartment light/clock 8 A, 10 fuel pump 8 A, 11 indicators/warning flasher 5 A, 12 brake lights 5 A. Relays left to right: cooling fan, ignition lock, fuel pump, injection (empty), start lock (fitted), headlight wiper."
F1,Fuse box and relays,Relay 89 (start relay): confirm it is fitted; it should click when the key goes to start.,listen,"122, 122a, 202","Fitted: grey relay in the START LOCK position (photo, 24 Sep). Click at start not tested yet."
F2,Fuse box and relays,"Heated rear window relay 113: colour on terminal 86 (blue, 213); follow it to the switch.",look,213,
F3,Fuse box and relays,"Pull fuse 9: the lighter and the clock should both go dead (the book shows both on it), and the interior lights too if 160 GL is their feed.",test,"126, 126a, 127",The clock stops with fuse 9 pulled (25 Sep 2026). Lighter and interior lights not checked yet: see F3b.
F3b,Fuse box and relays,"Pull fuse 9 again: does the cigarette lighter go dead, and the interior lights (if 160 GL is their feed)? (F3 found the clock stops.)",test,"126, 126a, 160",
F4,Fuse box and relays,"Pull fuse 5: note what stops (lid: seat heating, cornering lights). On this car it also powers the high-speed fuel boost (140 and 137), so refit it before driving.",test,"140, 380, 380a, 150","Fuse 5 is the corner lamps: they stop with it pulled (25 Sep 2026). Seat heating not reported. The reverse lights are on fuse 3, so the corner lamps are other lamps than the front housings’ reverse lights (E16); where they are: E19."
F5,Fuse box and relays,"Fuse 10 (fuel pump): the lid says 8 A (white) but the fitted fuse looks pink/red. Read the rating on it; if it is 16 A, fit an 8 A. If 8 A fuses keep blowing, suspect the pump rather than fitting a bigger fuse.",look,260,"16 A fitted by the owner long ago; the spec is 8 A. Note it also protects the 0.75 mm² heater feeds (261a, 265, 267)."
F6,Fuse box and relays,"Optional: find out why the 8 A used to blow. Clean and tighten the fuse 10 clips, fit an 8 A and run the engine. If it still blows, measure the pump current with a clamp meter or look at the pump itself.",test,"260, 261",
F7,Fuse box and relays,"Relay 67 (headlight wipers), relay pulled: are socket terminals 85 and 87 linked (a jumper, or two black wires on one)? The book ties them outside the relay, which makes 100 SV the coil’s earth.",look,"100, 100a",
F8,Fuse box and relays,"Earths on the relay board, battery disconnected, relays pulled: continuity between relay 21’s socket 85 and relay 102’s socket 31 (black 263), and between relay 113’s socket 85 and relay 21’s 85 (black 33) and relay 8’s 31 (black 13)? The book joins them all and earths them through black 212.",meter,"263, 33, 13, 212",
F8b,Fuse box and relays,"Earth joint 158: find the bolt or cluster of ring terminals where black 212, 201, 281, 107 (2.5 mm²), 192 and 83, and blue 90, meet (near the relay board). Clean and tight? Battery connected: with the headlights on, measure volts from it to battery − (should be under 0.1 V).",meter,"212, 201, 281, 107, 192, 83, 90, 3",
D1,Dashboard,"Radio junction box: is pin 1 (red, 340) live with the key out, or only with the key on?",meter,340,"Radio is dead with the key out, so its feed is switched by the key (matches ignition switch X on the Turbo diagram)."
D2,Dashboard,"Instrument cluster plug: is terminal 2 (brown/white, 182) live with the ignition on, and dead with fuse 4 pulled? The drawing shows it branching off fuse 4’s wiper feed. Terminal 5 is the brake warning lamp: it should light with the handbrake on.",meter,"182, 187","The instrument lights don’t work with fuse 4 pulled (25 Sep 2026), so the cluster is fed from fuse 4 as drawn (182 BR/VT). Terminal 2 not measured."
