component,name,sheet,kind,element,between,rest_state,confidence,evidence,notes
1,Battery,power,other,terminals,+;-,n/a,read,book photo IMG_4712; scan p.407,"+ on the left wall about 30% down, - on the right wall about 70% down: open circles just inside the walls, signs printed inside the box. No internal elements printed (no cells). 1 RD 16.0 (extra heavy) leaves + to the left and runs up to starter 30. An unnumbered extra-heavy lead leaves - to the right and runs straight down to the central earth star at D3 (MOTOR earth, diagonal branch to CHASSI) on the scan."
2,Alternator,power; instruments,other,terminals,D+;B+,n/a,read,book photo IMG_4712,"Both on the right wall: D+ about 25% down, B+ about 75% down, open circles just inside the wall with the names printed to their left. A pulley symbol sits on the left wall. No regulator, diodes, windings, DF or earth printed (no DF, so probably a built-in regulator). 5 GR 4.0 leaves the B+ circle; 5a GR 2.5 leaves the bottom-right corner just below B+; 6 GR 4.0 lands on the solid wall about 35 px above B+ (probably B+)."
4,Starter motor,power; ignition,motor,terminals,16;50;30,n/a,read,book photo IMG_4712; scan p.407,"16 on the right wall about 25% down and 50 about 75% down, names printed to their left (""30 50"" on one line); 30 on the bottom wall at its centre, ""30"" printed above and slightly left. A pinion symbol sits on the left wall. The manual prints no solenoid, winding, contact or earth: a 50-to-earth pull-in coil and a 30-to-16 contact closed while cranking are probably inside, but get no row. The right wall is an ordinary heavy wall, thinned only where the 272 and 122a labels are printed over it."
5,Ignition coil,ignition,other,terminals,15;1;HT tower,n/a,read,book photo IMG_4729; scan p.407,"'15' and '1' printed small inside the dome, under a thin line across it: 15 at the left shoulder (123b GN/VT 1.5 drops onto it from the left), 1 at the right shoulder (121 BL 1.5 rises and runs right). HT tower (no label) on top of the dome; the HT lead from 6's centre comes straight down into it. Windings are not drawn (primary 15-1, secondary to the tower by DIN meaning), so no element rows. 123d GN/VT 1.0 passes under the coil without touching it. A small mark in the tower's notch (photo only) is unreadable (maybe a '4')."
6,Ignition distributor,ignition,sender,terminals,centre (HT in);upper right (plug 1);upper left (plug 2);lower left (plug 3);lower right (plug 4);right edge upper (390);right edge lower (391),n/a,read,book photo IMG_4729; scan p.407,"No labels printed; names ours. Heavy ring with four small open outlet circles at the diagonals and one at the centre; the HT leads meet the ring edge beside each outlet and nest left to plugs 1-4 of 157. The centre line runs straight down through the ring to coil 5's tower. The outlet order is schematic (it cannot give the 1-3-4-2 firing order; probably). Rotor and pulse sender are not drawn: the sender shows only as two screened wires, 390 and 391 (numbers only), leaving the right edge without terminal circles (probably an inductive pulse generator)."
8,Lighting relay,lighting,relay,terminals,56a;56b;S;31;86;30,n/a,read,"book photo IMG_4719, IMG_4721, IMG_4722; scan p.407","All six on the bottom edge, left to right, each label printed just left of its circle; none on the top or sides; no plain 56. The b of 56b runs into the 5 and looks like D at low zoom. 86: second digit smeared by K2's lead in the photos and the scan; its closed lower loop rules out 85, and 86 (not 88) is probably, as the DIN 72552 coil end fed by 31 GL. Internal circles A-H are unlabelled in the manual (the letters are ours). Not printed: any latch or ratchet mechanism (the toggling is inferred) and any suppression diode."
8,Lighting relay,lighting,relay,coil,S;resistor,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407","K1, the left coil (rectangle with a diagonal stroke). Right lead down to S; left lead down into the resistor, whose other end is on 30: 30 - resistor - K1 - S. Its dashed actuator rises to just under the upper blade (D) and branches left at 0.36 box height to the diagonal blade (F), so K1 moves both. Probably the impulse coil: stalk 9 probably earths S over 32 VT (inferred; nothing printed)."
8,Lighting relay,lighting,relay,resistor,K1;30,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407","Small horizontal rectangle below and left of K1, in series with it. From its right end a bus runs right at 0.76 box height to the 30 vertical, with a junction dot there; it crosses S, 31 and 86 with no dots (plain crossings; the scan blurs them, the photos are clear)."
8,Lighting relay,lighting,relay,coil,31;86,n/a,read,"book photo IMG_4719, IMG_4721; scan p.407","K2, the right coil, same symbol as K1. Left lead down to 31, right lead down to 86. Its dashed actuator rises to just under the B-C blade and stops short of it. Probably pulled in when light switch 10:1 feeds 86 on 31 GL (headlamp position); 31 reaches earth on 13 SV through the joint at relay 113:85 (inferred from DIN 72552 and wires.csv)."
8,Lighting relay,lighting,relay,changeover contact,C;B;E,rests on B,probably,"book photo IMG_4719, IMG_4721; scan p.407","Order common;rest;work. Read: a thick blade drawn closed between B and C; C runs right and down to 30; B joins A by a thin line; E is an unlabelled circle above B (slightly toward C) that touches nothing and is wired to F. Probably C is the pivot and the blade lifts from B to E when K2 pulls in (C-E about equals C-B, so E lies on its swing); that is why this row is probably. Every stroke here is printed: draw it black."
8,Lighting relay,lighting,relay,contact,D;A,open,probably,"book photo IMG_4719, IMG_4721","Upper blade: thick, rising up and right from pivot D (on the 56b node) to a free end above and left of A, touching nothing; open is read. It probably closes on A: its length matches D-A and A sits level with D, as a make contact is drawn. Its line, extended, points near E, but D-E is about twice its length. Moved by K1. With K2 at rest this probably puts 30 (through C-B-A) on 56b: the lights-off flash, which as printed would feed the dipped beams (needs a car check)."
